timestamp,pose,dx,dy,scale,true_pose
2025-11-12 20:11:06.195623,normal,1,3,1.008,
2025-11-12 20:11:06.229374,normal,1,5,1.005,
2025-11-12 20:11:06.266834,normal,1,4,1.014,
2025-11-12 20:11:06.301756,normal,0,5,1.004,
2025-11-12 20:11:06.341468,normal,-1,4,1.008,
2025-11-12 20:11:06.363926,normal,0,4,1.008,
2025-11-12 20:11:06.391843,normal,-1,5,1.009,
2025-11-12 20:11:06.425702,normal,-1,4,0.999,
2025-11-12 20:11:06.461557,normal,-1,4,1.014,
2025-11-12 20:11:06.513782,normal,-1,4,1.008,
2025-11-12 20:11:06.549995,normal,-1,3,1.008,
2025-11-12 20:11:06.598000,normal,-2,3,1.013,
2025-11-12 20:11:06.632523,normal,-1,3,1.014,
2025-11-12 20:11:06.671662,normal,-2,3,1.014,
2025-11-12 20:11:06.715891,normal,-1,4,1.014,
2025-11-12 20:11:06.751923,normal,-1,4,1.004,
2025-11-12 20:11:06.791687,normal,-1,3,0.999,
2025-11-12 20:11:06.821518,normal,-2,3,1.008,
2025-11-12 20:11:06.861585,normal,-1,3,1.004,
2025-11-12 20:11:06.903330,normal,0,4,1.009,
2025-11-12 20:11:06.949119,normal,-1,5,1.019,
2025-11-12 20:11:06.996751,normal,-1,3,1.014,
2025-11-12 20:11:07.045692,normal,-1,4,1.008,
2025-11-12 20:11:07.085781,normal,-1,4,1.009,
2025-11-12 20:11:07.121739,normal,0,4,1.014,
2025-11-12 20:11:07.165886,normal,0,3,1.013,
2025-11-12 20:11:07.201691,normal,1,3,0.999,
2025-11-12 20:11:07.253801,normal,0,3,1.008,
2025-11-12 20:11:07.325880,normal,0,4,1.008,
2025-11-12 20:11:07.353545,normal,0,3,1.008,
2025-11-12 20:11:07.381524,normal,0,4,1.008,
2025-11-12 20:11:07.423183,normal,0,4,1.014,
2025-11-12 20:11:07.471773,normal,0,4,1.014,
2025-11-12 20:11:07.512039,normal,0,3,1.013,
2025-11-12 20:11:07.561783,normal,-1,4,1.018,
